slug,title,gauge_family,test_todo,fix_todo
post-install-site-health-criticals-addressed,"Site Health Criticals Addressed",wordpress-health,"Check WP_Site_Health critical/recommended counts.","Address critical site health findings."
post-install-mail-sender-configured,"Mail Sender Configured",settings,"Check wp_mail_from/wp_mail_from_name behavior.","Set sender identity."
post-install-smtp-configured,"SMTP Configured",settings,"Check SMTP plugin configuration state.","Enable SMTP transport."
post-install-transactional-email-delivery-verified,"Transactional Email Delivery Verified",monitoring,"Check delivery logs or test-send status.","Verify and remediate delivery."
post-install-forms-protected-and-rate-limited,"Forms Protected And Rate Limited",security,"Check nonce presence and form rate-limit hooks.","Enable CSRF and abuse controls."
post-install-database-prefix-intentional,"Database Prefix Intentional",security,"Check wpdb->prefix policy.","Set intentional table prefix policy."
post-install-autoupdate-policy-defined,"Auto Update Policy Defined",workflows,"Inspect plugin/theme/core auto-update settings.","Define per-environment update policy."
post-install-configuration-baseline-documented,"Configuration Baseline Documented",workflows,"Check existence of exported baseline config artifact.","Generate and store baseline snapshot."
post-install-php-memory-limit-optimized,"PHP Memory Limit Optimized",performance,"Check ini_get(""memory_limit"") against policy.","Recommend safe memory limit adjustment in hosting/PHP config."
post-install-cron-overlap-protection-enabled,"Cron Overlap Protection Enabled",workflows,"Check cron lock/transient overlap controls for scheduled tasks.","Implement lock-based overlap protection for heavy jobs."
post-install-query-debug-logging-disabled-production,"Query Debug Logging Disabled In Production",security,"Check SAVEQUERIES and query debug tooling state in production context.","Disable query debug logging outside development."
